"","SYMBOL","X91_23.X6103_230526","Normalized_Per_Million","Normal_Mean","Normal_Median","Normal_SD","Z_score","Foldchange","Gene_State","Potential_FP_or_FN"
"ENSG00000137869","CYP19A1",0,0,2.048,1.9048,2.347,-0.873,0,"NORMAL","-"
"ENSG00000138039","LHCGR",0,0,0.281,0,0.708,-0.397,0,"NORMAL","-"
"ENSG00000138363","ATIC",314.048,32.69,990.484,989.381,240.874,-2.808,0.317,"LOW","0"
"ENSG00000138376","BARD1",623.19,64.87,188.614,185.5238,78.342,5.547,3.304,"HIGH","0"
"ENSG00000138413","IDH1",409.19,42.594,611.845,562.2857,195.781,-1.035,0.669,"NORMAL","0"
"ENSG00000139618","BRCA2",123.714,12.878,203.356,174.2381,83.032,-0.959,0.608,"NORMAL","0"
"ENSG00000139874","SSTR1",0,0,2.145,1.9048,2.495,-0.86,0,"NORMAL","-"
"ENSG00000140009","ESR2",123.714,12.878,40.995,37.6667,14.574,5.676,3.018,"HIGH","0"
"ENSG00000140464","PML",403.143,41.965,574.326,534.1429,123.486,-1.386,0.702,"LOW","0"
"ENSG00000140538","NTRK3",213.905,22.266,62.474,45.1429,37.932,3.992,3.424,"HIGH","0"
"ENSG00000141736","ERBB2",101.857,10.603,126.288,123.1429,30.811,-0.793,0.807,"NORMAL","0"
"ENSG00000142166","IFNAR1",344.19,35.828,864.396,862.6667,130.421,-3.989,0.398,"LOW","0"
"ENSG00000142515","KLK3",0,0,0,0,0,0,0,"NORMAL","-"
"ENSG00000142627","EPHA2",156,16.239,232.99,172.6667,161.887,-0.476,0.67,"NORMAL","0"
"ENSG00000142657","PGD",158.048,16.452,885.589,868.6667,124.118,-5.862,0.178,"VERY LOW","0"
"ENSG00000143171","RXRG",1,0.104,7.15,4.5714,9.994,-0.615,0.14,"NORMAL","-"
"ENSG00000143217","NECTIN4",0,0,0.892,0,1.201,-0.743,0,"NORMAL","-"
"ENSG00000143799","PARP1",1280.952,133.339,4728.326,4861.6667,1698.858,-2.029,0.271,"LOW","0"
"ENSG00000143924","EML4",1443.048,150.212,2156.662,2072.7143,320.664,-2.225,0.669,"LOW","0"
"ENSG00000144852","NR1I2",3.619,0.377,5.411,5.5238,2.706,-0.662,0.669,"NORMAL","-"
"ENSG00000146648","EGFR",249.429,25.964,230.075,199.1429,106.982,0.181,1.084,"NORMAL","0"
"ENSG00000147099","HDAC8",587.762,61.182,158.977,157.3333,29.06,14.755,3.697,"VERY HIGH","0"
"ENSG00000147437","GNRH1",45.143,4.699,33.86,30.5714,14.801,0.762,1.333,"NORMAL","0"
"ENSG00000148053","NTRK2",32.333,3.366,204.902,126.2857,179.567,-0.961,0.158,"NORMAL","0"
"ENSG00000148229","POLE3",1434.667,149.34,859.183,912,183.033,3.144,1.67,"HIGH","0"
"ENSG00000148795","CYP17A1",0,0,0.105,0,0.315,-0.333,0,"NORMAL","-"
"ENSG00000149311","ATM",2611.286,271.818,5217.747,5472,1440.979,-1.809,0.5,"LOW","0"
"ENSG00000150337","FCGR1A",1,0.104,29.439,23.0476,21.164,-1.344,0.034,"LOW","0"
"ENSG00000150630","VEGFC",58.857,6.127,145.125,129.5714,74.222,-1.162,0.406,"LOW","0"
"ENSG00000154188","ANGPT1",8.048,0.838,37.393,27.2381,24.414,-1.202,0.215,"NORMAL","0"
"ENSG00000154229","PRKCA",315.238,32.814,587.326,539.5238,223.281,-1.219,0.537,"NORMAL","0"
"ENSG00000156738","MS4A1",26599.286,2768.814,11503.762,11548.1905,3689.942,4.091,2.312,"HIGH","0"
"ENSG00000157404","KIT",203.524,21.186,198.068,161.8095,134.582,0.041,1.028,"NORMAL","0"
